Category,Year,Total Flights,Percentage Change Yearly,Abs_Percentage Change Yearly,Yearly(to 2019)
Low Cost Airline,2020,1118276,-61.388950366662655,61.388950366662655,-61.388950366662655
Low Cost Airline,2021,1428523,27.74332991139934,27.74332991139934,-50.67695948463172
Low Cost Airline,2022,2630500,84.14124238811695,84.14124238811695,-9.175940411406575
Low Cost Airline,2023,749961,-71.48979281505416,71.48979281505416,-74.10587243751336
