Category,Year,Total Flights,Percentage Change Yearly,Abs_Percentage Change Yearly,Yearly(to 2019)
Full Service Airline,2020,1692000,-58.13582697329451,58.13582697329451,-58.13582697329451
Full Service Airline,2021,2019359,19.34745862884162,19.34745862884162,-50.036173416646
Full Service Airline,2022,3299735,63.40507061894394,63.40507061894394,-18.356573887543725
Full Service Airline,2023,999455,-69.71105255422026,69.71105255422026,-75.2710655718641
