,State,CO2_QTY_TONNES,TF,Date,Average
5627,Spain,310537.4119,16211,2021-02,19.16
5670,Spain,370811.94005,21115,2021-03,17.56
5713,Spain,424739.32035,24092,2021-04,17.63
5756,Spain,519106.04825,32076,2021-05,16.18
5799,Spain,725418.2589,45046,2021-06,16.1
5842,Spain,1102728.06125,66183,2021-07,16.66
5885,Spain,1172436.1714,69248,2021-08,16.93
5928,Spain,1098939.08635,62930,2021-09,17.46
5971,Spain,1112773.70905,61605,2021-10,18.06
6014,Spain,895154.61225,46859,2021-11,19.1
6057,Spain,967817.8719,47780,2021-12,20.26
6100,Spain,839824.4523,42079,2022-01,19.96
6143,Spain,796887.5497,41505,2022-02,19.2
6186,Spain,997051.86445,52267,2022-03,19.08
6229,Spain,1280113.5779,68284,2022-04,18.75
6272,Spain,1416590.5029,77078,2022-05,18.38
6316,Spain,1469755.27915,80047,2022-06,18.36
6359,Spain,1606827.05815,86521,2022-07,18.57
6402,Spain,1598590.5199,84209,2022-08,18.98
6445,Spain,1481440.26675,78630,2022-09,18.84
6488,Spain,1450518.736,76401,2022-10,18.99
6531,Spain,1092039.04835,54557,2022-11,20.02
6574,Spain,1124261.42435,54192,2022-12,20.75
6617,Spain,1064098.58085,52344,2023-01,20.33
6660,Spain,994773.7736,50651,2023-02,19.64
6703,Spain,1204032.6515,61149,2023-03,19.69
5068,Sweden,242394.506,19318,2020-01,12.55
5111,Sweden,229326.125,19401,2020-02,11.82
5154,Sweden,171656.41,14854,2020-03,11.56
5197,Sweden,23197.342,3596,2020-04,6.45
5240,Sweden,27037.765,3828,2020-05,7.06
5283,Sweden,31782.323,4872,2020-06,6.52
5326,Sweden,57295.579,6661,2020-07,8.6
5369,Sweden,71864.088,7915,2020-08,9.08
5413,Sweden,72320.199,8708,2020-09,8.31
5456,Sweden,75748.443,8888,2020-10,8.52
5499,Sweden,60309.648,7482,2020-11,8.06
5542,Sweden,59163.823,6452,2020-12,9.17
5585,Sweden,53419.43835,5627,2021-01,9.49
5628,Sweden,44104.8734,5352,2021-02,8.24
5671,Sweden,51049.8163,6434,2021-03,7.93
5714,Sweden,52730.40455,6578,2021-04,8.02
5757,Sweden,59098.53735,7400,2021-05,7.99
5800,Sweden,83698.4352,9350,2021-06,8.95
5843,Sweden,120637.3621,11287,2021-07,10.69
5886,Sweden,124475.4984,12341,2021-08,10.09
5929,Sweden,127622.84085,13718,2021-09,9.3
5972,Sweden,136986.5532,14158,2021-10,9.68
6015,Sweden,142967.60265,13954,2021-11,10.25
6058,Sweden,161412.91385,13618,2021-12,11.85
6101,Sweden,144162.20555,11430,2022-01,12.61
6144,Sweden,122309.82005,10785,2022-02,11.34
6187,Sweden,149589.3843,13777,2022-03,10.86
6230,Sweden,177021.07,15901,2022-04,11.13
6273,Sweden,190470.0836,18174,2022-05,10.48
6317,Sweden,204560.88665,18225,2022-06,11.22
6360,Sweden,198363.4466,15898,2022-07,12.48
6403,Sweden,207718.16345,17953,2022-08,11.57
6446,Sweden,202573.93095,18702,2022-09,10.83
6489,Sweden,197128.6822,18007,2022-10,10.95
6532,Sweden,170944.7396,16471,2022-11,10.38
6575,Sweden,175286.56325,15117,2022-12,11.6
6618,Sweden,168678.7983,15080,2023-01,11.19
6661,Sweden,157941.7051,14852,2023-02,10.63
6704,Sweden,183994.6996,17603,2023-03,10.45
5069,Switzerland,469900.451,20226,2020-01,23.23
5112,Switzerland,429986.965,19244,2020-02,22.34
5155,Switzerland,276729.776,11930,2020-03,23.2
5198,Switzerland,46882.671,1859,2020-04,25.22
5241,Switzerland,72826.772,3131,2020-05,23.26
5284,Switzerland,84598.336,5525,2020-06,15.31
5327,Switzerland,151964.744,10265,2020-07,14.8
5370,Switzerland,170027.833,11445,2020-08,14.86
5414,Switzerland,152346.331,9811,2020-09,15.53
5457,Switzerland,151512.645,8464,2020-10,17.9
5500,Switzerland,120885.5,6039,2020-11,20.02
5543,Switzerland,139410.892,7158,2020-12,19.48
5586,Switzerland,129998.99175,6430,2021-01,20.22
5629,Switzerland,117622.45975,5850,2021-02,20.11
5672,Switzerland,131296.5813,6613,2021-03,19.85
5715,Switzerland,147338.6935,7291,2021-04,20.21
5758,Switzerland,158794.704,8259,2021-05,19.23
5801,Switzerland,171800.32325,10478,2021-06,16.4
5844,Switzerland,263080.45335,15237,2021-07,17.27
5887,Switzerland,280959.5796,16139,2021-08,17.41
5930,Switzerland,262637.8482,15771,2021-09,16.65
5973,Switzerland,293218.48545,16159,2021-10,18.15
6016,Switzerland,258231.3794,13024,2021-11,19.83
6059,Switzerland,291367.4774,14426,2021-12,20.2
6102,Switzerland,286948.2665,14234,2022-01,20.16
6145,Switzerland,262448.9837,14218,2022-02,18.46
6188,Switzerland,316126.0821,16912,2022-03,18.69
6231,Switzerland,340661.4767,17499,2022-04,19.47
6274,Switzerland,354064.1289,19250,2022-05,18.39
6318,Switzerland,369678.39235,19171,2022-06,19.28
6361,Switzerland,431167.7378,20625,2022-07,20.91
6404,Switzerland,422649.0894,20178,2022-08,20.95
6447,Switzerland,396244.9201,19600,2022-09,20.22
6490,Switzerland,410707.1098,19257,2022-10,21.33
6533,Switzerland,356460.5917,15766,2022-11,22.61
6576,Switzerland,389290.15525,17731,2022-12,21.96
6619,Switzerland,384962.123,17594,2023-01,21.88
6662,Switzerland,355368.95585,17296,2023-02,20.55
6705,Switzerland,405802.0354,19096,2023-03,21.25
5070,Türkiye,1127832.285,46416,2020-01,24.3
5113,Türkiye,1013160.787,42391,2020-02,23.9
5156,Türkiye,692664.578,30163,2020-03,22.96
5199,Türkiye,130628.402,2529,2020-04,51.65
5242,Türkiye,187085.615,3316,2020-05,56.42
5285,Türkiye,348689.303,15360,2020-06,22.7
5328,Türkiye,566549.878,29094,2020-07,19.47
5371,Türkiye,782320.819,38147,2020-08,20.51
5415,Türkiye,798283.884,37256,2020-09,21.43
5458,Türkiye,790929.32,35601,2020-10,22.22
5501,Türkiye,623061.377,27901,2020-11,22.33
5544,Türkiye,591315.105,23176,2020-12,25.51
5587,Türkiye,594242.66295,23480,2021-01,25.31
5630,Türkiye,542824.81165,22728,2021-02,23.88
5673,Türkiye,685150.43405,29083,2021-03,23.56
5716,Türkiye,711918.89205,28740,2021-04,24.77
5759,Türkiye,677552.58145,25564,2021-05,26.5
5802,Türkiye,933401.1663,42216,2021-06,22.11
5845,Türkiye,1364611.32655,60213,2021-07,22.66
5888,Türkiye,1414516.85985,61558,2021-08,22.98
5931,Türkiye,1300808.44725,55867,2021-09,23.28
5974,Türkiye,1333306.70995,55484,2021-10,24.03
6017,Türkiye,978565.1526,41005,2021-11,23.86
6060,Türkiye,960885.06375,38709,2021-12,24.82
6103,Türkiye,888403.219,35838,2022-01,24.79
6146,Türkiye,826540.93735,33874,2022-02,24.4
6189,Türkiye,960530.4561,37240,2022-03,25.79
6232,Türkiye,1110905.0418,43148,2022-04,25.75
6275,Türkiye,1358792.92685,54923,2022-05,24.74
6319,Türkiye,1536942.4176,60452,2022-06,25.42
6362,Türkiye,1734167.96365,67862,2022-07,25.55
6405,Türkiye,1764257.9829,68040,2022-08,25.93
6448,Türkiye,1611744.49975,61497,2022-09,26.21
6491,Türkiye,1513772.4345,57265,2022-10,26.43
6534,Türkiye,1180965.5211,45520,2022-11,25.94
6577,Türkiye,1156248.15625,44726,2022-12,25.85
6620,Türkiye,1194945.80275,46596,2023-01,25.64
6663,Türkiye,1132896.52495,45244,2023-02,25.04
6706,Türkiye,1258313.33895,47981,2023-03,26.23
5071,United Kingdom,2748923.227,87146,2020-01,31.54
5114,United Kingdom,2545390.315,85049,2020-02,29.93
5157,United Kingdom,1978777.269,60949,2020-03,32.47
5200,United Kingdom,410791.445,9986,2020-04,41.14
5243,United Kingdom,562576.56,12072,2020-05,46.6
5286,United Kingdom,614938.879,15910,2020-06,38.65
5329,United Kingdom,862076.439,35111,2020-07,24.55
5372,United Kingdom,1121783.759,49247,2020-08,22.78
5416,United Kingdom,1129589.351,46940,2020-09,24.06
5459,United Kingdom,1114117.173,41206,2020-10,27.04
5502,United Kingdom,898437.853,24788,2020-11,36.24
5545,United Kingdom,996281.595,28444,2020-12,35.03
5588,United Kingdom,765614.32205,20024,2021-01,38.23
5631,United Kingdom,632903.32195,15700,2021-02,40.31
5674,United Kingdom,762742.9366,19639,2021-03,38.84
5717,United Kingdom,754365.2258,21253,2021-04,35.49
5760,United Kingdom,811337.78655,27083,2021-05,29.96
5803,United Kingdom,945559.2897,37391,2021-06,25.29
5846,United Kingdom,1146295.6928,50192,2021-07,22.84
5889,United Kingdom,1401767.22385,60857,2021-08,23.03
5932,United Kingdom,1519089.97055,64508,2021-09,23.55
5975,United Kingdom,1690009.0003,67269,2021-10,25.12
6018,United Kingdom,1603625.89945,60200,2021-11,26.64
6061,United Kingdom,1803535.60705,61652,2021-12,29.25
6104,United Kingdom,1597404.1417,49533,2022-01,32.25
6147,United Kingdom,1522545.80365,53706,2022-02,28.35
6190,United Kingdom,1907656.5936,70167,2022-03,27.19
6233,United Kingdom,2194921.269,83090,2022-04,26.42
6276,United Kingdom,2512608.59395,95420,2022-05,26.33
6320,United Kingdom,2613880.2531,97506,2022-06,26.81
6363,United Kingdom,2752992.73435,101035,2022-07,27.25
6406,United Kingdom,2743948.63165,99167,2022-08,27.67
6449,United Kingdom,2642367.93935,96192,2022-09,27.47
6492,United Kingdom,2613441.0407,94606,2022-10,27.62
6535,United Kingdom,2230368.0949,75211,2022-11,29.65
6578,United Kingdom,2350692.3232,76688,2022-12,30.65
6621,United Kingdom,2307158.52535,74769,2023-01,30.86
6664,United Kingdom,2156078.0173,72494,2023-02,29.74
6707,United Kingdom,2491117.5236,83848,2023-03,29.71
